Commidity,Year,Month,Price
Sorghum,2011,Sep,5.88
Sorghum,2011,Oct,5.99
Sorghum,2011,Nov,5.99
Sorghum,2011,Dec,5.88
Sorghum,2012,Jan,6.05
Sorghum,2012,Feb,6.05
Sorghum,2012,Mar,6.1
Sorghum,2012,Apr,5.94
Sorghum,2012,May,5.82
Sorghum,2012,Jun,5.35
Sorghum,2012,Jul,5.94
Sorghum,2012,Aug,6.33
Sorghum,2012,Sep,6.44
Sorghum,2012,Oct,6.94
Sorghum,2012,Nov,6.94
Sorghum,2012,Dec,6.83
Sorghum,2013,Jan,6.72
Sorghum,2013,Feb,6.78
Sorghum,2013,Mar,6.83
Sorghum,2013,Apr,6.5
Sorghum,2013,May,6.38
Sorghum,2013,Jun,6.22
Sorghum,2013,Jul,5.39
Sorghum,2013,Aug,4.94
Sorghum,2013,Sep,4.58
Sorghum,2013,Oct,4.33
Sorghum,2013,Nov,4.13
Sorghum,2013,Dec,4.19
Sorghum,2014,Jan,4.21
Sorghum,2014,Feb,4.28
Sorghum,2014,Mar,4.61
Sorghum,2014,Apr,4.79
Sorghum,2014,May,4.6
Sorghum,2014,Jun,4.22
Sorghum,2014,Jul,4.14
Sorghum,2014,Aug,3.99
Sorghum,2014,Sep,3.66
Sorghum,2014,Oct,3.51
Sorghum,2014,Nov,3.68
Sorghum,2014,Dec,4.1
Sorghum,2015,Jan,4.14
Sorghum,2015,Feb,4.4
Sorghum,2015,Mar,4.48
Sorghum,2015,Apr,4.42
Sorghum,2015,May,4.24
Sorghum,2015,Jun,4.38
Sorghum,2015,Jul,4.3
Sorghum,2015,Aug,4.42
Sorghum,2015,Sep,4.13
Sorghum,2015,Oct,3.53
Sorghum,2015,Nov,3.26
Sorghum,2015,Dec,3.23
Sorghum,2016,Jan,3.14
Sorghum,2016,Feb,3.1
Sorghum,2016,Mar,3.18
Sorghum,2016,Apr,3
Sorghum,2016,May,3.11
Sorghum,2016,Jun,3.54
Sorghum,2016,Jul,3.41
Sorghum,2016,Aug,3.07
Sorghum,2016,Sep,2.7
Sorghum,2016,Oct,2.65
Sorghum,2016,Nov,2.57
Sorghum,2016,Dec,2.64
Sorghum,2017,Jan,2.7
Sorghum,2017,Feb,2.81
Sorghum,2017,Mar,2.73
Sorghum,2017,Apr,2.74
Sorghum,2017,May,2.89
Sorghum,2017,Jun,3.16
Sorghum,2017,Jul,3.7
Sorghum,2017,Aug,3.42
Sorghum,2017,Sep,3.25
Sorghum,2017,Oct,3.04
Sorghum,2017,Nov,3.01
Sorghum,2017,Dec,3.07
Sorghum,2018,Jan,3.23
Sorghum,2018,Feb,3.38
Sorghum,2018,Mar,3.36
Sorghum,2018,Apr,3.43
Sorghum,2018,May,3.43
Sorghum,2018,Jun,3.95
Sorghum,2018,Jul,3.8
Sorghum,2018,Aug,3.63
Sorghum,2018,Sep,3.41
Sorghum,2018,Oct,3.2
Sorghum,2018,Nov,3.1
Sorghum,2018,Dec,3.18
Sorghum,2019,Jan,3.2
Sorghum,2019,Feb,3.26
Sorghum,2019,Mar,3.28
Sorghum,2019,Apr,3.02
Sorghum,2019,May,3.18
Sorghum,2019,Jun,3.63
Sorghum,2019,Jul,3.94
Sorghum,2019,Aug,3.29
Sorghum,2019,Sep,3.36
Sorghum,2019,Oct,3.3
Sorghum,2019,Nov,3.18
Sorghum,2019,Dec,3.16
Sorghum,2020,Jan,3.22
Sorghum,2020,Feb,3.28
Sorghum,2020,Mar,3.28
Sorghum,2020,Apr,3.23
Sorghum,2020,May,3.32
Sorghum,2020,Jun,3.61
Sorghum,2020,Jul,4.06
Sorghum,2020,Aug,3.54
Sorghum,2020,Sep,4.08
Sorghum,2020,Oct,4.47
Sorghum,2020,Nov,4.84
Sorghum,2020,Dec,5.01
Sorghum,2021,Jan,5.26
Sorghum,2021,Feb,6.22
Sorghum,2021,Mar,6.16
Sorghum,2021,Apr,6.55
Sorghum,2021,May,6.83
Sorghum,2021,Jun,6.61
Sorghum,2021,Jul,5.99
Sorghum,2021,Aug,5.71
Sorghum,2021,Sep,5.43
Sorghum,2021,Oct,5.33
Sorghum,2021,Nov,5.66
Sorghum,2021,Dec,5.88
Sorghum,2022,Jan,6.05
Sorghum,2022,Feb,6.66
Sorghum,2022,Mar,7.06
Sorghum,2022,Apr,7.39
Sorghum,2022,May,7.39
Sorghum,2022,Jun,6.1
Sorghum,2022,Jul,5.53
Sorghum,2022,Aug,6.5
Sorghum,2022,Sep,6.78
Sorghum,2022,Oct,7.06
Sorghum,2022,Nov,7.17
Sorghum,2022,Dec,6.89
Sorghum,2023,Jan,6.66
Sorghum,2023,Feb,7
Sorghum,2023,Mar,6.78
Sorghum,2023,Apr,6.89
Sorghum,2023,May,6.5
Sorghum,2023,Jun,6.38
Sorghum,2023,Jul,5.45
Sorghum,2023,Aug,5.17
Sorghum,2023,Sep,5.24
Sorghum,2023,Oct,5.28
Sorghum,2023,Nov,5.07
Sorghum,2023,Dec,4.87
Sorghum,2024,Jan,4.89
Sorghum,2024,Feb,4.74
Sorghum,2024,Mar,4.74
Sorghum,2024,Apr,4.83
